Depth,DepthTo,HorizonNum,Matrix,Mottle_1,Humose,Roots,BoundaryDistinct_Text,BoundaryDistinct_Percent,BoundaryDistinct,Total_Nitrogen,pH_H2O,Exchangeable_K,Exchangeable_Mg,BaseSaturation,TextureClass,series_id,BoundaryShape_Text,BoundaryShape_Description,StoneAbundance_Text,StoneAbundance_Percent,StoneAbundance,StoneSize_Text,StoneSize_Description,StoneSize,OrganicCarbon,CEC,Exchangeable_Ca,StoneShape_Text,StructureType_Text,Sand,Silt,Clay,Plasticity_Text,Plasticity_Description,StructureGrade_Text,StructureSize_Text,StructureSize_Percent,StructureSize,RootSize_Description,RootSize_Text,RootSize,RootAbundance_Text,RootAbundance_NumPer100,RootAbundance,CaCO3_Percent,CaCO3_Text,Stickiness_Text,Stickiness_Description,StructureStrength_Text,StructureStrength_Description,PackingDensity_Text,PackingDensity_Percent,PackingDensity,Total_Carbon,LossOnIgnition,Exchangeable_Na,StoneType_Text,MottleAbundanceText1,MottleAbundancePercent1,MottleAbundance1,MottleSharpnessText1,MottleSharpnessPercent1,MottleSharpness1,MottleSizeText1,MottleSizePercent1,MottleSize1,MottleContrast1,Texture,MottleSizeText2,MottleSizePercent2,MottleSize2,MottleAbundanceText2,MottleAbundancePercent2,MottleAbundance2,MottleSharpnessText2,MottleSharpnessPercent2,MottleSharpness2,MottleContrast2
80,120.0,5,75YR54,5YR56,0,0,,,,0.0020000000949949,4.6500000953674,0.12085452675819,0.52253210544586,47.0,Sandy Loam,0636BR,,,Common,5-15 %,C 5-15 %,6mm -2 cm,Medium gravels,M 6mm - 2cm,0.12399999797344,2.675544500351,0.51536875963211,Sub rounded,,55.0,32.0,13.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,,,,,,,,,,,0,No reaction,Slightly sticky,"Soil material adheres to thumb and finger after release of pressure, but it is easily removed.",,,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,0.24300000071526,,0.086916401982307,Quartzite,Common,5-15 %,C 5-15 %,0.5-2 mm,Clear,C 0.5-2 mm,Fine,2-6mm,F 2-6mm,Prominent,Fine loamy,,,,,,,,,,
0,15.0,1,75YR42,,1,1,Clear,2-5 cm,C 2-5 cm,0.61599999666214,6.9000000953674,0.11251537501812,0.63085997104645,100.0,Clay loam,0636CL,Smooth,Nearly plane surface,Many,15-40 %,M 15-40 %,2-6 mm,Fine gravels,F 2-6 mm,8.1300001144409,25.149772644043,26.23509979248,Flat/platy,Prm 2 Angblk,38.0,30.0,32.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,Moderate,Fine to coarse,10-100mm,FC 10-100mm,Fine,0.5-2 mm,F 0.5-2 mm,Common,50-200,C 50-200,0,No reaction,Non-sticky,No soil material adheres to thumb and finger after release of pressure,Moderate,Aggregates are visible in situ and there is a distinct arrangement of material. When disturbed it breaks into a mixture of entire and broken aggregates.,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,8.8000001907349,,0.12426260858774,Shale,,,,,,,,,,,Fine loamy,,,,,,,,,,
15,30.0,2,75YR41,25YR34,0,1,Clear,2-5 cm,C 2-5 cm,0.39599999785423,6.4800000190735,0.053810268640518,0.29078099131584,100.0,Clay loam,0636CL,Smooth,Nearly plane surface,Many,15-40 %,M 15-40 %,2-6 mm,Fine gravels,F 2-6 mm,5.789999961853,14.25452041626,15.769200325012,Flat/platy,Angular blocky,40.0,30.0,30.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,Weak,Coarse,20-50mm,CO 20-50mm,Fine,0.5-2 mm,F 0.5-2 mm,Few,20-50,F 20-50,0,No reaction,Slightly sticky,"Soil material adheres to thumb and finger after release of pressure, but it is easily removed.",Weak to moderate,Show weak and moderate properties,High,1.60 - 1.75 t m-3,H 1.60 -1.75 t m-3,6.2199997901917,,0.082000002264977,Shale,Common,5-15 %,C 5-15 %,< 0.5 mm,Sharp,S < 0.5 mm,Fine,2-6mm,F 2-6mm,Distinct,Fine loamy,,,,,,,,,,
30,60.0,3,25Y62,5Y61,0,1,Gradual,5-15 cm,G 5-15 cm,0.068000003695488,6.1599998474121,0.054789315909147,0.16331100463867,100.0,Sandy clay loam,0636CL,Wavy,Pockets less deep than wide,Many,15-40 %,M 15-40 %,2-6 mm,Fine gravels,F 2-6 mm,0.34400001168251,2.1865634918213,3.6237599849701,Sub angular,Sub-angular blocky,57.0,27.0,21.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,Moderate,Coarse,20-50mm,CO 20-50mm,Very fine,< 0.5 mm,VF < 0.5 mm,Very few,1-20,V 1-20,0,No reaction,Slightly sticky,"Soil material adheres to thumb and finger after release of pressure, but it is easily removed.",Weak to moderate,Show weak and moderate properties,High,1.60 - 1.75 t m-3,H 1.60 -1.75 t m-3,0.52700001001358,,0.082000002264977,Sandstone,Many,15-40 %,M 15-40 %,0.5-2 mm,Clear,C 0.5-2 mm,Medium,6-20mm,M 6-20mm,Distinct,Fine loamy,Fine,2-6mm,F 2-6mm,Common,5-15 %,C 5-15 %,0.5-2 mm,Clear,C 0.5-2 mm,Prominent
60,115.0,4,25Y64,5YR56,0,1,Clear,2-5 cm,C 2-5 cm,0.037999998778105,5.3099999427795,0.11522438377142,1.6169899702072,84.0,Clay loam,0636CL,Smooth,Nearly plane surface,Abundant,40-80 %,A 40-80 %,2-6 mm,Fine gravels,F 2-6 mm,0.089000001549721,6.2388134002686,3.405590057373,Angular,Mas 2 Angblk,42.0,29.0,29.0,Plastic,Wire formable but breaks if bent into a ring; deformation by slight to moderate force,Weak,,,,,,,,,,0,No reaction,Sticky,"Soil material adheres to thumb and finger after release of pressure, and tends to stretch and pull apart rather than coming away from each digit",Weak,Aggregates barely visible in situ and only weak arrangement of natural surfaces that break when gently disturbed.,High,1.60 - 1.75 t m-3,H 1.60 -1.75 t m-3,0.15899999439716,,0.082000002264977,Shale,Many,15-40 %,M 15-40 %,0.5-2 mm,Clear,C 0.5-2 mm,Medium,6-20mm,M 6-20mm,Prominent,Fine loamy,Fine,2-6mm,F 2-6mm,Common,5-15 %,C 5-15 %,0.5-2 mm,Clear,C 0.5-2 mm,Distinct
115,145.0,5,5BG61,5R61,0,0,,,,0.043999999761581,5.6399998664856,0.13313576579094,1.2946599721909,70.0,Clay loam,0636CL,,,Abundant,40-80 %,A 40-80 %,2-6 mm,Fine gravels,F 2-6 mm,0.12700000405312,5.890435218811,2.6006100177765,Sub rounded,Massive ,40.0,32.0,28.0,Plastic,Wire formable but breaks if bent into a ring; deformation by slight to moderate force,,,,,,,,,,,0,No reaction,Sticky,"Soil material adheres to thumb and finger after release of pressure, and tends to stretch and pull apart rather than coming away from each digit",,,High,1.60 - 1.75 t m-3,H 1.60 -1.75 t m-3,0.14599999785423,,0.082000002264977,Sandstone,Common,5-15 %,C 5-15 %,0.5-2 mm,Clear,C 0.5-2 mm,Medium,6-20mm,M 6-20mm,Faint,Clayey,Medium,6-20mm,M 6-20mm,Common,5-15 %,C 5-15 %,> 2 mm,Diffuse,D > 2 mm,Distinct
0,20.0,1,10YR42,None,0,1,Clear,2-5 cm,C 2-5 cm,0.34099999070168,7.9029998779297,0.43167677521706,0.70256960391998,100.0,Clay Loam,0650MT,Smooth,Nearly plane surface,Few,2-5 %,F 2-5 %,6mm -2 cm,Medium gravels,M 6mm - 2cm,2.9500000476837,28.407085418701,27.971319198608,Sub angular,Angular blocky,24.0,39.0,37.0,Non-plastic,No wire is formable,Moderate,Medium,10-20mm,ME 10-20mm,Fine,0.5-2 mm,F 0.5-2 mm,Few,20-50,F 20-50,0,No reaction,Non-sticky,No soil material adheres to thumb and finger after release of pressure,Moderate,Aggregates are visible in situ and there is a distinct arrangement of material. When disturbed it breaks into a mixture of entire and broken aggregates.,High,1.60 - 1.75 t m-3,H 1.60 -1.75 t m-3,3.3666999340057,,0.080713458359241,Limestone,,,,,,,,,,,Fine loamy,,,,,,,,,,
20,37.0,2,10YR33,75YR56,0,1,Abrupt,0-2 cm,A 0-2 cm,0.32769998908043,7.9930000305176,0.27730965614319,0.68756037950516,100.0,Clay Loam,0650MT,Wavy,Pockets less deep than wide,Few,2-5 %,F 2-5 %,6mm -2 cm,Medium gravels,M 6mm - 2cm,2.7799999713898,27.942853927612,27.86047744751,Sub angular,Angular blocky,26.0,39.0,35.0,Non-plastic,No wire is formable,Moderate,Fine to medium,5-20mm,FM 5-20mm,Fine,0.5-2 mm,F 0.5-2 mm,Few,20-50,F 20-50,0,No reaction,Non-sticky,No soil material adheres to thumb and finger after release of pressure,Moderate,Aggregates are visible in situ and there is a distinct arrangement of material. When disturbed it breaks into a mixture of entire and broken aggregates.,High,1.60 - 1.75 t m-3,H 1.60 -1.75 t m-3,3.1533000469208,,0.079999998211861,Quartzite,Few,2-5 %,F 2-5 %,< 0.5 mm,Sharp,S < 0.5 mm,Fine,2-6mm,F 2-6mm,Distinct,Fine loamy,Fine,2-6mm,F 2-6mm,Few,2-5 %,F 2-5 %,< 0.5 mm,Sharp,S < 0.5 mm,Faint
37,62.0,3,10YR52,10YR56,0,1,Gradual,5-15 cm,G 5-15 cm,0.069300003349781,8.2229995727539,0.15843598544598,0.47252431511879,91.0,Clay Loam,0650MT,Irregular,Pockets more deep than wide,Common,5-15 %,C 5-15 %,6mm -2 cm,Medium gravels,M 6mm - 2cm,0.42429998517036,15.594459533691,13.525440216064,Rounded,Prismatic,24.0,42.0,34.0,Non-plastic,No wire is formable,Weak,Medium,20-50mm,ME 20-50mm,Fine,0.5-2 mm,F 0.5-2 mm,Few,20-50,F 20-50,2-5 %,Visible,Non-sticky,No soil material adheres to thumb and finger after release of pressure,Weak,Aggregates barely visible in situ and only weak arrangement of natural surfaces that break when gently disturbed.,High,1.60 - 1.75 t m-3,H 1.60 -1.75 t m-3,0.55970001220703,,0.079999998211861,Quartzite,Many,15-40 %,M 15-40 %,0.5-2 mm,Clear,C 0.5-2 mm,Medium,6-20mm,M 6-20mm,Prominent,Clayey,,,,,,,,,,
62,120.0,4,25Y41,25Y68,0,0,,,,0.079300001263618,8.3299999237061,0.17920370399952,0.38595569133759,100.0,clay Loam,0650MT,,,Many,15-40 %,M 15-40 %,6mm -2 cm,Medium gravels,M 6mm - 2cm,0.54830002784729,14.86411190033,14.271390914917,Rounded,Massive ,30.0,39.0,31.0,Non-plastic,No wire is formable,,,,,,,,,,,5-15 %,Strongly visible,Non-sticky,No soil material adheres to thumb and finger after release of pressure,,,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,1.7367000579834,,0.079999998211861,Quartzite,Many,15-40 %,M 15-40 %,< 0.5 mm,Sharp,S < 0.5 mm,Fine,2-6mm,F 2-6mm,Prominent,Fine loamy,Fine,2-6mm,F 2-6mm,Common,5-15 %,C 5-15 %,< 0.5 mm,Sharp,S < 0.5 mm,Prominent
0,21.0,1,75YR31,,1,1,Abrupt,0-2 cm,A 0-2 cm,1.0299999713898,5.9499998092651,0.23366498947144,1.2715400457382,100.0,,0651CL,Smooth,Nearly plane surface,None,0 %,N 0 %,,,,12.699999809265,42.237686157227,41.9035987854,,Massive ,,,,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,Weak,,,,Fine,0.5-2 mm,F 0.5-2 mm,Few,20-50,F 20-50,0,No reaction,Non-sticky,No soil material adheres to thumb and finger after release of pressure,Weak,Aggregates barely visible in situ and only weak arrangement of natural surfaces that break when gently disturbed.,Very Low,< 1.20 t m-3,VL < 1.20 t m-3,13.800000190735,27.389999389648,0.13335451483727,,,,,,,,,,,,,,,,,,,,,,
21,35.0,2,5PB51,10Y51,0,1,Clear,2-5 cm,C 2-5 cm,0.064000003039837,7.4200000762939,0.10943980515003,0.51276898384094,95.0,Sandy Clay Loam,0651CL,Wavy,Pockets less deep than wide,Many,15-40 %,M 15-40 %,2-6 mm,Fine gravels,F 2-6 mm,0.68800002336502,13.984844207764,12.609800338745,Sub angular,Mas 2 Sgrain ,53.0,24.0,27.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,Weak,,,,Fine,0.5-2 mm,F 0.5-2 mm,Few,20-50,F 20-50,0,No reaction,Slightly sticky,"Soil material adheres to thumb and finger after release of pressure, but it is easily removed.",Weak,Aggregates barely visible in situ and only weak arrangement of natural surfaces that break when gently disturbed.,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,0.79299998283386,,0.082000002264977,Sandstone,Many,15-40 %,M 15-40 %,0.5-2 mm,Clear,C 0.5-2 mm,Medium,6-20mm,M 6-20mm,Distinct,Fine loamy,Medium,6-20mm,M 6-20mm,Common,5-15 %,C 5-15 %,0.5-2 mm,Clear,C 0.5-2 mm,Distinct
35,85.0,3,N40,5Y52,0,1,Abrupt,0-2 cm,A 0-2 cm,0.045000001788139,8.1999998092651,0.12883664667606,0.34266498684883,100.0,Sandy Clay Loam,0651CL,Irregular,Pockets more deep than wide,Abundant,40-80 %,A 40-80 %,2-6 mm,Fine gravels,F 2-6 mm,0.54199999570847,9.5228710174561,9.9468002319336,Angular,Massive ,52.0,27.0,21.0,Plastic,Wire formable but breaks if bent into a ring; deformation by slight to moderate force,Weak,,,,Fine,0.5-2 mm,F 0.5-2 mm,Very few,1-20,V 1-20,5-15 %,Strongly visible,Sticky,"Soil material adheres to thumb and finger after release of pressure, and tends to stretch and pull apart rather than coming away from each digit",Weak,Aggregates barely visible in situ and only weak arrangement of natural surfaces that break when gently disturbed.,High,1.60 - 1.75 t m-3,H 1.60 -1.75 t m-3,3.2699999809265,,0.082000002264977,Limestone,Many,15-40 %,M 15-40 %,< 0.5 mm,Sharp,S < 0.5 mm,Coarse,> 20mm,A >20mm,Prominent,Fine loamy,Fine,2-6mm,F 2-6mm,Few,2-5 %,F 2-5 %,0.5-2 mm,Clear,C 0.5-2 mm,Prominent
0,13.0,1,10YR32,10r36,1,0,Abrupt,0-2 cm,A 0-2 cm,0.6700000166893,6.5999999046326,,,49.0,,0656BS,Smooth,Nearly plane surface,,,,,,,7.3000001907349,44.799999237061,,,Sub-angular blocky,32.0,36.0,32.0,,,Weak,Fine,5-10mm,FI 5-10mm,,,,Many,> 200,M > 200,,,,,,,,,,,,,,Abundant,> 40 %,A > 40 %,,,,Fine,2-6mm,F 2-6mm,,,,,,,,,,,,
13,24.0,2,10YR54,5YR46,0,0,Clear,2-5 cm,C 2-5 cm,0.34000000357628,6.8000001907349,,,53.0,,0656BS,Wavy,Pockets less deep than wide,,,,,,,2.0999999046326,28.39999961853,,,Sub-angular blocky,40.0,34.0,26.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,Moderate,Medium,10-20mm,ME 10-20mm,,,,Few,20-50,F 20-50,,,,,,,,,,,,,,Abundant,> 40 %,A > 40 %,,,,,,,,,,,,,,,,,,
24,53.0,3,10YR51,10YR56,0,0,Clear,2-5 cm,C 2-5 cm,,7.6999998092651,,,76.0,,0656BS,Wavy,Pockets less deep than wide,,,,,,,0.40000000596046,13.39999961853,,,Granular,52.0,27.0,21.0,Plastic,Wire formable but breaks if bent into a ring; deformation by slight to moderate force,Weak,Fine,1-2mm,FI 1-2mm,,,,,,,,,,,,,,,,,,,,Many,15-40 %,M 15-40 %,,,,,,,Distinct,,,,,,,,,,,
53,80.0,4,10YR51,25Y44,0,0,Clear,2-5 cm,C 2-5 cm,,8.3000001907349,,,0.0,,0656BS,Irregular,Pockets more deep than wide,,,,,,,0.20000000298023,10.199999809265,,,Prismatic,17.0,42.0,41.0,Plastic,Wire formable but breaks if bent into a ring; deformation by slight to moderate force,Weak,Medium,20-50mm,ME 20-50mm,,,,Few,20-50,F 20-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,5,10YR51,10YR56,0,0,,,,,8.1999998092651,,,0.0,,0656BS,,,,,,,,,0.20000000298023,2.7999999523163,,,,53.0,33.0,14.0,,,,,,,,,,,,,5-15 %,Strongly visible,,,,,,,,,,,,Few,2-5 %,F 2-5 %,,,,,,,,,,,,,,,,,,
0,30.0,1,10YR21,,1,0,Abrupt,0-2 cm,A 0-2 cm,0.99000000953674,6.4000000953674,,,50.0,,0656BT,Smooth,Nearly plane surface,Very few,0-2 %,VF 0-2 %,6-20 cm,Stones,S 6-20 cm,11.0,124.80000305176,,Sub rounded,Granular,51.0,41.0,8.0,,,Moderate,Medium,2-5mm,ME 2-5mm,,,,Common,50-200,C 50-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,57.0,2,25Y51,25Y56,0,0,Clear,2-5 cm,C 2-5 cm,,8.3000001907349,,,89.0,,0656BT,Smooth,Nearly plane surface,Many,15-40 %,M 15-40 %,20-60 cm,Boulders,B 20-60 cm,0.40000000596046,5.4000000953674,,Sub angular,Massive ,55.0,26.0,19.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,,,,,,,,,,,,,,,,,,,,,,,,Many,15-40 %,M 15-40 %,,,,Medium,6-20mm,M 6-20mm,Distinct,,,,,,,,,,,
57,,3,5Y251,,0,0,,,,,8.3999996185303,,,99.0,,0656BT,,,Abundant,40-80 %,A 40-80 %,6-20 cm,Stones,S 6-20 cm,0.40000000596046,4.5999999046326,,Sub angular,Massive ,44.0,33.0,22.0,,,,,,,,,,,,,2-5 %,Visible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,18.0,1,10YR32,,1,0,Gradual,5-15 cm,G 5-15 cm,0.43000000715256,5.4000000953674,,,36.0,,0660BK,Smooth,Nearly plane surface,,,,,,,7.8000001907349,17.39999961853,,,Crumbly,76.199996948242,16.39999961853,7.4000000953674,,,Weak,Coarse,5-10mm,CO 5-10mm,,,,Common,50-200,C 50-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,38.0,2,10YR32,,0,0,Abrupt,0-2 cm,A 0-2 cm,0.18999999761581,5.8000001907349,,,73.0,,0660BK,Smooth,Nearly plane surface,,,,,,,3.9900000095367,10.5,,,Crumbly,78.599998474121,15.10000038147,6.3000001907349,,,Weak,Medium,2-5mm,ME 2-5mm,,,,Common,50-200,C 50-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,91.0,3,25Y62,,0,0,,,,0.029999999329448,6.1999998092651,,,70.0,,0660BK,,,,,,,,,0.47999998927116,3.0,,,Single Grain ,86.599998474121,10.60000038147,2.7999999523163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25.0,1,10YR22,5YR34,1,0,Abrupt,0-2 cm,A 0-2 cm,0.40000000596046,4.9000000953674,,,23.0,,0660BW,Smooth,Nearly plane surface,,,,,,,6.6999998092651,12.0,,,Crumbly,45.299999237061,42.200000762939,12.5,,,Weak,Medium,2-5mm,ME 2-5mm,,,,Common,50-200,C 50-200,,,,,,,,,,,,,,,,,0.5-2 mm,Clear,C 0.5-2 mm,,,,,,,,,,,,,,,
25,36.0,2,10YR62,5YR58,0,0,Gradual,5-15 cm,G 5-15 cm,0.090000003576279,5.0,,,45.0,,0660BW,Smooth,Nearly plane surface,,,,,,,1.7999999523163,4.0,,,Granular,52.900001525879,34.0,13.10000038147,,,Weak,Medium,2-5mm,ME 2-5mm,,,,Few,20-50,F 20-50,,,,,,,,,,,,,,Many,15-40 %,M 15-40 %,,,,Medium,6-20mm,M 6-20mm,,,,,,,,,,,,
36,43.0,3,10YR42,,0,0,Abrupt,0-2 cm,A 0-2 cm,0.079999998211861,5.0,,,41.0,,0660BW,Smooth,Nearly plane surface,,,,,,,1.6799999475479,4.4000000953674,,,Granular,72.0,20.60000038147,7.4000000953674,,,Weak,Medium,2-5mm,ME 2-5mm,,,,Few,20-50,F 20-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,58.0,4,5Y62,10YR56,0,0,Gradual,5-15 cm,G 5-15 cm,0.019999999552965,5.3000001907349,,,55.0,,0660BW,Smooth,Nearly plane surface,,,,,,,0.36000001430511,2.2000000476837,,,Single Grain ,66.199996948242,28.200000762939,5.5999999046326,,,,,,,,,,,,,,,,,,,,,,,,,,Many,15-40 %,M 15-40 %,> 2 mm,Diffuse,D > 2 mm,Coarse,> 20mm,A >20mm,,,,,,,,,,,,
58,91.0,5,5Y61,75YR58,0,0,,,,0.019999999552965,5.5,,,45.0,,0660BW,,,,,,,,,0.23999999463558,2.9000000953674,,,Single Grain ,64.599998474121,26.700000762939,8.6999998092651,,,,,,,,,,,,,,,,,,,,,,,,,,Many,15-40 %,M 15-40 %,,,,Coarse,> 20mm,A >20mm,,,,,,,,,,,,
0,25.0,1,10YR22,75YR34,1,1,Abrupt,0-2 cm,A 0-2 cm,0.38100001215935,6.3200001716614,0.071507938206196,0.37028202414513,100.0,Sandy Loam,0660CL,Wavy,Pockets less deep than wide,Common,5-15 %,C 5-15 %,2-6 mm,Fine gravels,F 2-6 mm,4.960000038147,14.16916179657,13.617636680603,Sub rounded,Sub-angular blocky,59.0,29.0,12.0,Non-plastic,No wire is formable,Weak,Fine,5-10mm,FI 5-10mm,Fine,0.5-2 mm,F 0.5-2 mm,Common,50-200,C 50-200,0,No reaction,Non-sticky,No soil material adheres to thumb and finger after release of pressure,Weak,Aggregates barely visible in situ and only weak arrangement of natural surfaces that break when gently disturbed.,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,6.2199997901917,,0.082000002264977,Gneiss,Few,2-5 %,F 2-5 %,< 0.5 mm,Sharp,S < 0.5 mm,Fine,2-6mm,F 2-6mm,Faint,Coarse loamy,,,,,,,,,,
25,45.0,2,25Y54,75YR56,0,1,Clear,2-5 cm,C 2-5 cm,0.0489999987185,6.7300000190735,0.016523631289601,0.059442382305861,89.0,Sandy Loam,0660CL,Smooth,Nearly plane surface,Many,15-40 %,M 15-40 %,2-6 mm,Fine gravels,F 2-6 mm,0.63200002908707,3.2447891235352,2.7342412471771,Sub rounded,Angular blocky,64.0,27.0,9.0,Non-plastic,No wire is formable,Moderate,Fine,5-10mm,FI 5-10mm,Fine,0.5-2 mm,F 0.5-2 mm,Common,50-200,C 50-200,0,No reaction,Non-sticky,No soil material adheres to thumb and finger after release of pressure,Moderate,Aggregates are visible in situ and there is a distinct arrangement of material. When disturbed it breaks into a mixture of entire and broken aggregates.,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,1.0900000333786,,0.082000002264977,Gneiss,Few,2-5 %,F 2-5 %,0.5-2 mm,Clear,C 0.5-2 mm,Fine,2-6mm,F 2-6mm,Distinct,Coarse loamy,,,,,,,,,,
45,60.0,3,25Y52,10YR58,0,1,Clear,2-5 cm,C 2-5 cm,0.037000000476837,6.6900000572205,0.027048153802752,0.05187188833952,72.0,Sandy Loam,0660CL,Smooth,Nearly plane surface,Many,15-40 %,M 15-40 %,2-6 mm,Fine gravels,F 2-6 mm,0.34799998998642,2.856725692749,1.9014101028442,Sub angular,Angular blocky,71.0,21.0,8.0,Non-plastic,No wire is formable,Weak,Fine,5-10mm,FI 5-10mm,Fine,0.5-2 mm,F 0.5-2 mm,Few,20-50,F 20-50,0,No reaction,Non-sticky,No soil material adheres to thumb and finger after release of pressure,Weak,Aggregates barely visible in situ and only weak arrangement of natural surfaces that break when gently disturbed.,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,0.65799999237061,,0.082000002264977,Gneiss,Few,2-5 %,F 2-5 %,< 0.5 mm,Sharp,S < 0.5 mm,Fine,2-6mm,F 2-6mm,Distinct,Coarse loamy,,,,,,,,,,
60,80.0,4,,None,0,0,Clear,2-5 cm,C 2-5 cm,0.0099999997764826,6.5,0.035595655441284,0.12587183713913,93.0,Sandy Loam,0660CL,Smooth,Nearly plane surface,Abundant,40-80 %,A 40-80 %,2-6 mm,Fine gravels,F 2-6 mm,0.27399998903275,3.0364079475403,2.5889337062836,Sub rounded,Massive ,75.0,16.0,9.0,Non-plastic,No wire is formable,,,,,,,,,,,0,No reaction,Non-sticky,No soil material adheres to thumb and finger after release of pressure,,,,,,0.66399997472763,,0.082000002264977,Gneiss,,,,,,,,,,,Coarse loamy,,,,,,,,,,
80,120.0,5,,None,0,0,,,,0.010999999940395,6.3899998664856,0.024520734325051,0.038231827318668,73.0,Loamy Sand,0660CL,,,Abundant,40-80 %,A 40-80 %,2-6 mm,Fine gravels,F 2-6 mm,0.1630000025034,1.8022648096085,1.1703910827637,Sub rounded,Single Grain ,86.0,10.0,4.0,Non-plastic,No wire is formable,,,,,,,,,,,0,No reaction,Non-sticky,No soil material adheres to thumb and finger after release of pressure,,,,,,0.4839999973774,,0.082000002264977,Gneiss,,,,,,,,,,,Sandy,,,,,,,,,,
0,40.0,1,10YR32,75YR34,1,1,Clear,2-5 cm,C 2-5 cm,0.41499999165535,5.0599999427795,0.21062117815018,0.59296488761902,43.0,Loam,0660KT,Wavy,Pockets less deep than wide,Common,5-15 %,C 5-15 %,2-6 mm,Fine gravels,F 2-6 mm,5.8899998664856,10.409351348877,3.6022701263428,Sub angular,Angular blocky,47.0,33.0,20.0,Non-plastic,No wire is formable,Moderate,Medium,10-20mm,ME 10-20mm,Fine,0.5-2 mm,F 0.5-2 mm,Common,50-200,C 50-200,0,No reaction,Non-sticky,No soil material adheres to thumb and finger after release of pressure,Moderate,Aggregates are visible in situ and there is a distinct arrangement of material. When disturbed it breaks into a mixture of entire and broken aggregates.,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,5.8899998664856,,0.082000002264977,Sandstone,Very few,0-2 %,VF 0-2 %,< 0.5 mm,Sharp,S < 0.5 mm,Fine,2-6mm,F 2-6mm,Distinct,Coarse loamy,,,,,,,,,,
40,80.0,2,10YR42,10YR36,0,1,,,,0.03999999910593,5.6500000953674,0.010253674350679,0.11079502850771,68.0,Sandy Loam,0660KT,,,Many,15-40 %,M 15-40 %,6mm -2 cm,Medium gravels,M 6mm - 2cm,0.38499999046326,1.4674767255783,0.7974020242691,Sub angular,Massive ,61.0,32.0,7.0,Non-plastic,No wire is formable,,,,,Fine,0.5-2 mm,F 0.5-2 mm,Very few,1-20,V 1-20,0,No reaction,Non-sticky,No soil material adheres to thumb and finger after release of pressure,,,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,0.87900000810623,,0.082000002264977,Sandstone,Few,2-5 %,F 2-5 %,0.5-2 mm,Clear,C 0.5-2 mm,Medium,6-20mm,M 6-20mm,Faint,Coarse loamy,,,,,,,,,,
0,25.0,1,10YR22,75YR34,1,1,Abrupt,0-2 cm,A 0-2 cm,0.47499999403954,5.5100002288818,0.20146614313126,1.3013849258423,100.0,Silty Clay,0660NN,Smooth,Nearly plane surface,Few,2-5 %,F 2-5 %,6mm -2 cm,Medium gravels,M 6mm - 2cm,5.8566999435425,14.790865898132,13.997273445129,Sub rounded,Sub-angular blocky,8.0,48.0,44.0,Non-plastic,No wire is formable,Weak,Fine,5-10mm,FI 5-10mm,Fine,0.5-2 mm,F 0.5-2 mm,Many,> 200,M > 200,,,Non-sticky,No soil material adheres to thumb and finger after release of pressure,Weak,Aggregates barely visible in situ and only weak arrangement of natural surfaces that break when gently disturbed.,Low,1.20 - 1.40 t m-3,L 1.20 - 1.40 t m-3,6.1732997894287,,0.11822103708982,Quartzite,Few,2-5 %,F 2-5 %,< 0.5 mm,Sharp,S < 0.5 mm,Fine,2-6mm,F 2-6mm,Distinct,Fine loamy,,,,,,,,,,
